iter	Passed	Remaining
810	5652	1317
811	5659	1310
812	5666	1303
813	5672	1296
814	5678	1289
815	5686	1282
816	5692	1275
817	5698	1267
818	5706	1261
819	5712	1254
820	5719	1246
821	5726	1240
822	5733	1233
823	5739	1225
824	5746	1218
825	5752	1211
826	5758	1204
827	5766	1197
828	5772	1190
829	5779	1183
830	5785	1176
831	5794	1169
832	5806	1164
833	5813	1157
834	5818	1149
835	5825	1142
836	5832	1135
837	5838	1128
838	5846	1121
839	5852	1114
840	5858	1107
841	5865	1100
842	5871	1093
843	5878	1086
844	5885	1079
845	5892	1072
846	5899	1065
847	5906	1058
848	5912	1051
849	5919	1044
850	5926	1037
851	5932	1030
852	5939	1023
853	5946	1016
854	5952	1009
855	5958	1002
856	5965	995
857	5971	988
858	5978	981
859	5984	974
860	5992	967
861	6005	961
862	6012	954
863	6018	947
864	6024	940
865	6031	933
866	6038	926
867	6044	919
868	6051	912
869	6057	905
870	6064	898
871	6070	891
872	6077	884
873	6083	877
874	6090	870
875	6097	863
876	6103	856
877	6110	849
878	6116	842
879	6123	835
880	6130	828
881	6136	821
882	6143	814
883	6149	806
884	6156	799
885	6162	792
886	6168	785
887	6174	778
888	6181	771
889	6188	764
890	6198	758
891	6207	751
892	6215	744
893	6221	737
894	6228	730
895	6235	723
896	6242	716
897	6248	709
898	6255	702
899	6262	695
900	6268	688
901	6276	681
902	6282	674
903	6288	667
904	6296	660
905	6303	653
906	6309	646
907	6315	639
908	6322	632
909	6328	625
910	6336	619
911	6342	612
912	6348	604
913	6356	598
914	6362	591
915	6368	584
916	6377	577
917	6387	570
918	6397	563
919	6403	556
920	6409	549
921	6417	542
922	6423	535
923	6429	528
924	6436	521
925	6443	514
926	6449	507
927	6456	500
928	6462	493
929	6468	486
930	6476	479
931	6482	472
932	6488	465
933	6495	459
934	6502	452
935	6507	444
936	6515	438
937	6521	431
938	6528	424
939	6535	417
940	6541	410
941	6547	403
942	6554	396
943	6560	389
944	6566	382
945	6574	375
946	6581	368
947	6594	361
948	6601	354
949	6608	347
950	6615	340
951	6621	333
952	6627	326
953	6634	319
954	6640	312
955	6646	305
956	6654	298
957	6660	292
958	6666	285
959	6674	278
960	6681	271
961	6688	264
962	6695	257
963	6701	250
964	6708	243
965	6715	236
966	6721	229
967	6728	222
968	6735	215
969	6741	208
970	6749	201
971	6756	194
972	6762	187
973	6769	180
974	6775	173
975	6782	166
976	6792	159
977	6803	153
978	6810	146
979	6817	139
980	6823	132
981	6830	125
982	6837	118
983	6843	111
984	6850	104
985	6857	97
986	6863	90
987	6871	83
988	6877	76
989	6884	69
990	6891	62
991	6897	55
992	6903	48
993	6910	41
994	6917	34
995	6923	27
996	6930	20
997	6936	13
998	6942	6
999	6949	0
